_id,co_mun,no_mun,ano,variavel,pop_categoria,pop_subcategoria,valor
131,2702108,Colônia Leopoldina,2010,População residente censitária,Total,Total,20019
132,2702108,Colônia Leopoldina,2022,População residente censitária,Total,Total,15816
133,2702207,Coqueiro Seco,1970,População residente censitária,Total,Total,2857
134,2702207,Coqueiro Seco,1980,População residente censitária,Total,Total,3799
135,2702207,Coqueiro Seco,1991,População residente censitária,Total,Total,4784
136,2702207,Coqueiro Seco,2000,População residente censitária,Total,Total,5134
137,2702207,Coqueiro Seco,2010,População residente censitária,Total,Total,5526
138,2702207,Coqueiro Seco,2022,População residente censitária,Total,Total,5581
139,2702306,Coruripe,1970,População residente censitária,Total,Total,27225
140,2702306,Coruripe,1980,População residente censitária,Total,Total,41650
141,2702306,Coruripe,1991,População residente censitária,Total,Total,49240
142,2702306,Coruripe,2000,População residente censitária,Total,Total,48846
143,2702306,Coruripe,2010,População residente censitária,Total,Total,52130
144,2702306,Coruripe,2022,População residente censitária,Total,Total,50414
145,2702355,Craíbas,1970,População residente censitária,Total,Total,...
146,2702355,Craíbas,1980,População residente censitária,Total,Total,...
147,2702355,Craíbas,1991,População residente censitária,Total,Total,17816
148,2702355,Craíbas,2000,População residente censitária,Total,Total,20789
149,2702355,Craíbas,2010,População residente censitária,Total,Total,22641
150,2702355,Craíbas,2022,População residente censitária,Total,Total,25397
151,2702405,Delmiro Gouveia,1970,População residente censitária,Total,Total,14680
152,2702405,Delmiro Gouveia,1980,População residente censitária,Total,Total,26768
153,2702405,Delmiro Gouveia,1991,População residente censitária,Total,Total,41214
154,2702405,Delmiro Gouveia,2000,População residente censitária,Total,Total,42995
155,2702405,Delmiro Gouveia,2010,População residente censitária,Total,Total,48096
156,2702405,Delmiro Gouveia,2022,População residente censitária,Total,Total,51319
157,2702504,Dois Riachos,1970,População residente censitária,Total,Total,6222
158,2702504,Dois Riachos,1980,População residente censitária,Total,Total,7952
159,2702504,Dois Riachos,1991,População residente censitária,Total,Total,10011
160,2702504,Dois Riachos,2000,População residente censitária,Total,Total,11066
161,2702504,Dois Riachos,2010,População residente censitária,Total,Total,10880
162,2702504,Dois Riachos,2022,População residente censitária,Total,Total,9805
163,2702553,Estrela de Alagoas,1970,População residente censitária,Total,Total,...
164,2702553,Estrela de Alagoas,1980,População residente censitária,Total,Total,...
165,2702553,Estrela de Alagoas,1991,População residente censitária,Total,Total,...
166,2702553,Estrela de Alagoas,2000,População residente censitária,Total,Total,16341
167,2702553,Estrela de Alagoas,2010,População residente censitária,Total,Total,17251
168,2702553,Estrela de Alagoas,2022,População residente censitária,Total,Total,15429
169,2702603,Feira Grande,1970,População residente censitária,Total,Total,13310
170,2702603,Feira Grande,1980,População residente censitária,Total,Total,17542
171,2702603,Feira Grande,1991,População residente censitária,Total,Total,19052
172,2702603,Feira Grande,2000,População residente censitária,Total,Total,21270
173,2702603,Feira Grande,2010,População residente censitária,Total,Total,21321
174,2702603,Feira Grande,2022,População residente censitária,Total,Total,22712
175,2702702,Feliz Deserto,1970,População residente censitária,Total,Total,1723
176,2702702,Feliz Deserto,1980,População residente censitária,Total,Total,2690
177,2702702,Feliz Deserto,1991,População residente censitária,Total,Total,3438
178,2702702,Feliz Deserto,2000,População residente censitária,Total,Total,3836
179,2702702,Feliz Deserto,2010,População residente censitária,Total,Total,4345
180,2702702,Feliz Deserto,2022,População residente censitária,Total,Total,3963
181,2702801,Flexeiras,1970,População residente censitária,Total,Total,12042
182,2702801,Flexeiras,1980,População residente censitária,Total,Total,14008
183,2702801,Flexeiras,1991,População residente censitária,Total,Total,12097
184,2702801,Flexeiras,2000,População residente censitária,Total,Total,11979
185,2702801,Flexeiras,2010,População residente censitária,Total,Total,12325
186,2702801,Flexeiras,2022,População residente censitária,Total,Total,9618
187,2702900,Girau do Ponciano,1970,População residente censitária,Total,Total,18347
188,2702900,Girau do Ponciano,1980,População residente censitária,Total,Total,22459
189,2702900,Girau do Ponciano,1991,População residente censitária,Total,Total,27801
190,2702900,Girau do Ponciano,2000,População residente censitária,Total,Total,29574
191,2702900,Girau do Ponciano,2010,População residente censitária,Total,Total,36600
192,2702900,Girau do Ponciano,2022,População residente censitária,Total,Total,36102
193,2703007,Ibateguara,1970,População residente censitária,Total,Total,11567
194,2703007,Ibateguara,1980,População residente censitária,Total,Total,12086
195,2703007,Ibateguara,1991,População residente censitária,Total,Total,15620
196,2703007,Ibateguara,2000,População residente censitária,Total,Total,15105
197,2703007,Ibateguara,2010,População residente censitária,Total,Total,15149
198,2703007,Ibateguara,2022,População residente censitária,Total,Total,13731
199,2703106,Igaci,1970,População residente censitária,Total,Total,23331
200,2703106,Igaci,1980,População residente censitária,Total,Total,24579
201,2703106,Igaci,1991,População residente censitária,Total,Total,26127
202,2703106,Igaci,2000,População residente censitária,Total,Total,25584
203,2703106,Igaci,2010,População residente censitária,Total,Total,25188
204,2703106,Igaci,2022,População residente censitária,Total,Total,23995
205,2703205,Igreja Nova,1970,População residente censitária,Total,Total,19343
206,2703205,Igreja Nova,1980,População residente censitária,Total,Total,19142
207,2703205,Igreja Nova,1991,População residente censitária,Total,Total,19849
208,2703205,Igreja Nova,2000,População residente censitária,Total,Total,21451
209,2703205,Igreja Nova,2010,População residente censitária,Total,Total,23292
210,2703205,Igreja Nova,2022,População residente censitária,Total,Total,21372
211,2703304,Inhapi,1970,População residente censitária,Total,Total,9453
212,2703304,Inhapi,1980,População residente censitária,Total,Total,12861
213,2703304,Inhapi,1991,População residente censitária,Total,Total,14791
214,2703304,Inhapi,2000,População residente censitária,Total,Total,17768
215,2703304,Inhapi,2010,População residente censitária,Total,Total,17898
216,2703304,Inhapi,2022,População residente censitária,Total,Total,15167
217,2703403,Jacaré dos Homens,1970,População residente censitária,Total,Total,3708
218,2703403,Jacaré dos Homens,1980,População residente censitária,Total,Total,3873
219,2703403,Jacaré dos Homens,1991,População residente censitária,Total,Total,4746
220,2703403,Jacaré dos Homens,2000,População residente censitária,Total,Total,5720
221,2703403,Jacaré dos Homens,2010,População residente censitária,Total,Total,5413
222,2703403,Jacaré dos Homens,2022,População residente censitária,Total,Total,5083
223,2703502,Jacuípe,1970,População residente censitária,Total,Total,7694
224,2703502,Jacuípe,1980,População residente censitária,Total,Total,7532
225,2703502,Jacuípe,1991,População residente censitária,Total,Total,7481
226,2703502,Jacuípe,2000,População residente censitária,Total,Total,7313
227,2703502,Jacuípe,2010,População residente censitária,Total,Total,6997
228,2703502,Jacuípe,2022,População residente censitária,Total,Total,5352
229,2703601,Japaratinga,1970,População residente censitária,Total,Total,2802
230,2703601,Japaratinga,1980,População residente censitária,Total,Total,4227
231,2703601,Japaratinga,1991,População residente censitária,Total,Total,7093
232,2703601,Japaratinga,2000,População residente censitária,Total,Total,6868
233,2703601,Japaratinga,2010,População residente censitária,Total,Total,7754
234,2703601,Japaratinga,2022,População residente censitária,Total,Total,9219
235,2703700,Jaramataia,1970,População residente censitária,Total,Total,2320
236,2703700,Jaramataia,1980,População residente censitária,Total,Total,3161
237,2703700,Jaramataia,1991,População residente censitária,Total,Total,4372
238,2703700,Jaramataia,2000,População residente censitária,Total,Total,5788
239,2703700,Jaramataia,2010,População residente censitária,Total,Total,5558
240,2703700,Jaramataia,2022,População residente censitária,Total,Total,4985
241,2703759,Jequiá da Praia,1970,População residente censitária,Total,Total,...
242,2703759,Jequiá da Praia,1980,População residente censitária,Total,Total,...
243,2703759,Jequiá da Praia,1991,População residente censitária,Total,Total,...
244,2703759,Jequiá da Praia,2000,População residente censitária,Total,Total,...
245,2703759,Jequiá da Praia,2010,População residente censitária,Total,Total,12029
246,2703759,Jequiá da Praia,2022,População residente censitária,Total,Total,9470
247,2703809,Joaquim Gomes,1970,População residente censitária,Total,Total,15430
248,2703809,Joaquim Gomes,1980,População residente censitária,Total,Total,17969
249,2703809,Joaquim Gomes,1991,População residente censitária,Total,Total,24201
250,2703809,Joaquim Gomes,2000,População residente censitária,Total,Total,21488
251,2703809,Joaquim Gomes,2010,População residente censitária,Total,Total,22575
252,2703809,Joaquim Gomes,2022,População residente censitária,Total,Total,17152
253,2703908,Jundiá,1970,População residente censitária,Total,Total,9957
254,2703908,Jundiá,1980,População residente censitária,Total,Total,10566
255,2703908,Jundiá,1991,População residente censitária,Total,Total,15074
256,2703908,Jundiá,2000,População residente censitária,Total,Total,4680
257,2703908,Jundiá,2010,População residente censitária,Total,Total,4202
258,2703908,Jundiá,2022,População residente censitária,Total,Total,4093
259,2704005,Junqueiro,1970,População residente censitária,Total,Total,14998
260,2704005,Junqueiro,1980,População residente censitária,Total,Total,31200
261,2704005,Junqueiro,1991,População residente censitária,Total,Total,22221
262,2704005,Junqueiro,2000,População residente censitária,Total,Total,23832
263,2704005,Junqueiro,2010,População residente censitária,Total,Total,23836
264,2704005,Junqueiro,2022,População residente censitária,Total,Total,23907
265,2704104,Lagoa da Canoa,1970,População residente censitária,Total,Total,11562
266,2704104,Lagoa da Canoa,1980,População residente censitária,Total,Total,12594
267,2704104,Lagoa da Canoa,1991,População residente censitária,Total,Total,15900
268,2704104,Lagoa da Canoa,2000,População residente censitária,Total,Total,19988
269,2704104,Lagoa da Canoa,2010,População residente censitária,Total,Total,18250
270,2704104,Lagoa da Canoa,2022,População residente censitária,Total,Total,18457
271,2704203,Limoeiro de Anadia,1970,População residente censitária,Total,Total,16725
272,2704203,Limoeiro de Anadia,1980,População residente censitária,Total,Total,18173
273,2704203,Limoeiro de Anadia,1991,População residente censitária,Total,Total,19447
274,2704203,Limoeiro de Anadia,2000,População residente censitária,Total,Total,24263
275,2704203,Limoeiro de Anadia,2010,População residente censitária,Total,Total,26992
276,2704203,Limoeiro de Anadia,2022,População residente censitária,Total,Total,24740
277,2704302,Maceió,1970,População residente censitária,Total,Total,263670
278,2704302,Maceió,1980,População residente censitária,Total,Total,399300
279,2704302,Maceió,1991,População residente censitária,Total,Total,629041
280,2704302,Maceió,2000,População residente censitária,Total,Total,797759
281,2704302,Maceió,2010,População residente censitária,Total,Total,932748
282,2704302,Maceió,2022,População residente censitária,Total,Total,957916
283,2704401,Major Isidoro,1970,População residente censitária,Total,Total,14230
284,2704401,Major Isidoro,1980,População residente censitária,Total,Total,16020
285,2704401,Major Isidoro,1991,População residente censitária,Total,Total,17257
286,2704401,Major Isidoro,2000,População residente censitária,Total,Total,17639
287,2704401,Major Isidoro,2010,População residente censitária,Total,Total,18897
288,2704401,Major Isidoro,2022,População residente censitária,Total,Total,17700
289,2704500,Maragogi,1970,População residente censitária,Total,Total,12764
290,2704500,Maragogi,1980,População residente censitária,Total,Total,14953
291,2704500,Maragogi,1991,População residente censitária,Total,Total,16403
292,2704500,Maragogi,2000,População residente censitária,Total,Total,21832
293,2704500,Maragogi,2010,População residente censitária,Total,Total,28749
294,2704500,Maragogi,2022,População residente censitária,Total,Total,32174
295,2704609,Maravilha,1970,População residente censitária,Total,Total,8222
296,2704609,Maravilha,1980,População residente censitária,Total,Total,11832
297,2704609,Maravilha,1991,População residente censitária,Total,Total,11380
298,2704609,Maravilha,2000,População residente censitária,Total,Total,13687
299,2704609,Maravilha,2010,População residente censitária,Total,Total,10284
300,2704609,Maravilha,2022,População residente censitária,Total,Total,9534
301,2704708,Marechal Deodoro,1970,População residente censitária,Total,Total,14724
302,2704708,Marechal Deodoro,1980,População residente censitária,Total,Total,22695
303,2704708,Marechal Deodoro,1991,População residente censitária,Total,Total,24810
304,2704708,Marechal Deodoro,2000,População residente censitária,Total,Total,35866
305,2704708,Marechal Deodoro,2010,População residente censitária,Total,Total,45977
306,2704708,Marechal Deodoro,2022,População residente censitária,Total,Total,60370
307,2704807,Maribondo,1970,População residente censitária,Total,Total,13961
308,2704807,Maribondo,1980,População residente censitária,Total,Total,15041
309,2704807,Maribondo,1991,População residente censitária,Total,Total,14966
310,2704807,Maribondo,2000,População residente censitária,Total,Total,15145
311,2704807,Maribondo,2010,População residente censitária,Total,Total,13619
312,2704807,Maribondo,2022,População residente censitária,Total,Total,13679
313,2704906,Mar Vermelho,1970,População residente censitária,Total,Total,4857
314,2704906,Mar Vermelho,1980,População residente censitária,Total,Total,4163
315,2704906,Mar Vermelho,1991,População residente censitária,Total,Total,3965
316,2704906,Mar Vermelho,2000,População residente censitária,Total,Total,4078
317,2704906,Mar Vermelho,2010,População residente censitária,Total,Total,3652
318,2704906,Mar Vermelho,2022,População residente censitária,Total,Total,3155
319,2705002,Mata Grande,1970,População residente censitária,Total,Total,20858
320,2705002,Mata Grande,1980,População residente censitária,Total,Total,23478
321,2705002,Mata Grande,1991,População residente censitária,Total,Total,26475
322,2705002,Mata Grande,2000,População residente censitária,Total,Total,25032
323,2705002,Mata Grande,2010,População residente censitária,Total,Total,24698
324,2705002,Mata Grande,2022,População residente censitária,Total,Total,21844
325,2705101,Matriz de Camaragibe,1970,População residente censitária,Total,Total,12720
326,2705101,Matriz de Camaragibe,1980,População residente censitária,Total,Total,17131
327,2705101,Matriz de Camaragibe,1991,População residente censitária,Total,Total,21146
328,2705101,Matriz de Camaragibe,2000,População residente censitária,Total,Total,24017
329,2705101,Matriz de Camaragibe,2010,População residente censitária,Total,Total,23785
330,2705101,Matriz de Camaragibe,2022,População residente censitária,Total,Total,23857
